deal_id,company_name,industry,rep_name,lead_source,product_line,deal_stage,deal_value,created_date,close_date,days_in_stage,last_activity_days_ago,probability_pct,competitor_mentioned,num_stakeholders,next_action
DL-1001,Heritage Oncology Partners,Health Network,James Okafor,Inbound,Meridian Enterprise,Closed Won,479000,1/13/2024,3/11/2024,0,57,95,In-House Solution,1,Contract sent
DL-1002,Coastal Healthcare System,Health Network,Aisha Brooks,Referral,Meridian Pro,Closed Lost,40000,1/1/2025,2/14/2025,0,74,1,In-House Solution,6,Follow-up call
DL-1003,Valley Health System,Outpatient Clinic,Priya Nair,Referral,Meridian Enterprise,Closed Won,235000,7/13/2024,9/12/2024,0,59,100,None,3,Executive meeting
DL-1004,Valley Clinic,Hospital System,Andre Bishop,Conference,Meridian Core,Closed Won,26000,10/22/2024,12/19/2024,0,35,98,None,8,Check in
DL-1005,Lakeshore Hospital,Outpatient Clinic,Andre Bishop,Conference,Meridian Enterprise,Closed Won,449000,3/24/2024,6/11/2024,0,70,97,Cerner,4,Demo scheduled
DL-1006,Osprey Care Partners,Ambulatory Surgery Center,Nina Patel,Outbound,Meridian Pro,Demo Scheduled,47000,11/23/2024,1/13/2025,14,5,36,None,3,Send proposal
DL-1007,Heritage Hospital,Health Network,Chris Park,Conference,Meridian Enterprise,Closed Won,387000,7/21/2024,10/5/2024,0,67,100,Cerner,8,Follow-up call
DL-1008,Harbor Regional Health,Specialty Practice,Devon Mills,Conference,Meridian Enterprise,Negotiation,339000,2/9/2025,4/25/2025,45,1,75,In-House Solution,3,Executive meeting
DL-1009,Willow Cardiac Institute,Ambulatory Surgery Center,Devon Mills,Outbound,Meridian Enterprise,Negotiation,234000,8/20/2024,11/19/2024,21,14,75,None,2,Send proposal
DL-1010,Northbay Care Partners,Hospital System,Julia Novak,Conference,Meridian Pro,Closed Won,79000,1/1/2024,2/11/2024,0,86,100,None,8,Executive meeting
DL-1011,Coastal Oncology Partners,Ambulatory Surgery Center,Priya Nair,Referral,Meridian Pro,Closed Won,110000,1/24/2025,2/18/2025,0,85,100,Epic,2,Check in
DL-1012,Ridgeline Oncology Partners,Specialty Practice,Tomas Rivera,Referral,Meridian Enterprise,Closed Won,331000,7/23/2024,8/31/2024,0,34,100,None,2,Contract sent
DL-1013,Cedar Hospital,Hospital System,Marcus Webb,Outbound,Meridian Pro,Closed Won,49000,4/27/2024,6/26/2024,0,72,100,None,8,Send proposal
DL-1014,Riverside Medical Center,Ambulatory Surgery Center,Chris Park,Inbound,Meridian Pro,Closed Won,85000,2/17/2025,3/25/2025,0,85,95,In-House Solution,4,Check in
DL-1015,Briar Health System,Health Network,Rachel Kim,Inbound,Meridian Enterprise,Closed Won,316000,2/13/2025,3/31/2025,0,45,96,Epic,1,Check in
DL-1016,Valley Clinic,Specialty Practice,Priya Nair,Referral,Meridian Pro,Closed Lost,67000,1/20/2025,2/21/2025,0,40,1,None,4,Legal review
DL-1017,Cedar Medical Center,Ambulatory Surgery Center,Sam Elliot,Partner,Meridian Enterprise,Closed Won,349000,12/22/2024,2/12/2025,0,43,95,Cerner,3,Follow-up call
DL-1018,Atlas Regional Health,Urgent Care,Marcus Webb,Outbound,Meridian Core,Closed Won,15000,10/26/2024,12/25/2024,0,41,96,Cerner,2,Demo scheduled
DL-1019,Forge Health Network,Urgent Care,James Okafor,Inbound,Meridian Core,Negotiation,38000,3/31/2025,5/14/2025,12,5,68,In-House Solution,3,Demo scheduled
DL-1020,Cedar Health Network,Outpatient Clinic,Lauren Tate,Conference,Meridian Core,Closed Lost,12000,12/9/2024,1/26/2025,0,66,0,None,3,Send proposal
DL-1021,Mercy Regional Health,Specialty Practice,Connor Walsh,Inbound,Meridian Enterprise,Closed Won,460000,7/8/2024,8/27/2024,0,81,100,Cerner,3,Check in
DL-1022,Cardinal Hospital,Hospital System,Nina Patel,Partner,Meridian Core,Closed Won,39000,9/15/2024,11/7/2024,0,30,100,None,8,Contract sent
DL-1023,Sequoia Health Alliance,Hospital System,Sam Elliot,Outbound,Meridian Enterprise,Closed Won,176000,10/14/2024,1/14/2025,0,53,100,Cerner,3,Follow-up call
DL-1024,Tidewater Care Partners,Outpatient Clinic,Tomas Rivera,Inbound,Meridian Core,Closed Won,27000,7/5/2024,8/18/2024,0,79,100,Epic,2,Send proposal
DL-1025,Evergreen Health Network,Health Network,Devon Mills,Inbound,Meridian Enterprise,Qualified,310000,2/13/2025,4/20/2025,10,37,26,Epic,4,Executive meeting
DL-1026,Willow Health Alliance,Health Network,Fatima Hassan,Partner,Meridian Enterprise,Closed Won,198000,6/28/2024,8/27/2024,0,85,96,None,6,Follow-up call
DL-1027,Valley Cardiac Institute,Outpatient Clinic,James Okafor,Inbound,Meridian Core,Demo Scheduled,18000,3/25/2025,5/6/2025,15,10,43,None,2,Legal review
DL-1028,Forge Regional Health,Urgent Care,Marcus Webb,Outbound,Meridian Enterprise,Qualified,451000,12/28/2024,4/5/2025,13,11,30,Cerner,1,Check in
DL-1029,Valley Regional Health,Specialty Practice,Tomas Rivera,Outbound,Meridian Pro,Closed Won,91000,9/16/2024,11/21/2024,0,38,98,Epic,2,Contract sent
DL-1030,Forge Surgical Center,Hospital System,Tomas Rivera,Outbound,Meridian Pro,Closed Lost,76000,7/26/2024,9/14/2024,0,67,4,In-House Solution,8,Demo scheduled
DL-1031,Northbay Health Services,Ambulatory Surgery Center,Aisha Brooks,Referral,Meridian Core,Closed Won,17000,9/18/2024,10/17/2024,0,70,100,None,2,Check in
DL-1032,Valley Surgical Center,Hospital System,Tomas Rivera,Outbound,Meridian Core,Prospecting,27000,4/25/2024,6/23/2024,16,11,19,None,7,Send proposal
DL-1033,Briar Health Network,Specialty Practice,Lauren Tate,Inbound,Meridian Core,Closed Lost,23000,12/1/2024,1/18/2025,0,63,2,None,1,Demo scheduled
DL-1034,Briar Surgical Center,Urgent Care,Lauren Tate,Conference,Meridian Enterprise,Negotiation,262000,2/14/2025,5/8/2025,44,12,73,Epic,2,Check in
DL-1035,Lakeshore Clinic,Health Network,Chris Park,Inbound,Meridian Enterprise,Closed Won,366000,8/18/2024,10/13/2024,0,47,100,None,6,Legal review
DL-1036,Highland Health Alliance,Hospital System,Connor Walsh,Outbound,Meridian Pro,Closed Lost,92000,7/15/2024,9/7/2024,0,56,0,None,1,Executive meeting
DL-1037,Heritage Surgical Center,Outpatient Clinic,Megan Torres,Referral,Meridian Pro,Closed Won,89000,9/1/2024,10/17/2024,0,77,100,Cerner,2,Legal review
DL-1038,Tidewater Oncology Partners,Outpatient Clinic,Sam Elliot,Outbound,Meridian Enterprise,Closed Lost,447000,9/5/2024,12/14/2024,0,40,2,None,1,Demo scheduled
DL-1039,Pinnacle Healthcare System,Specialty Practice,Sarah Chen,Inbound,Meridian Core,Closed Won,15000,2/12/2024,3/14/2024,0,43,100,None,4,Legal review
DL-1040,Cascade Healthcare System,Hospital System,Sam Elliot,Conference,Meridian Enterprise,Demo Scheduled,376000,5/9/2024,7/8/2024,9,11,36,In-House Solution,1,Send proposal
DL-1041,Harbor Healthcare System,Ambulatory Surgery Center,Lauren Tate,Conference,Meridian Core,Demo Scheduled,25000,5/2/2024,6/19/2024,7,10,44,In-House Solution,2,Legal review
DL-1042,Ridgeline Care Partners,Outpatient Clinic,James Okafor,Inbound,Meridian Enterprise,Closed Won,446000,10/23/2024,12/15/2024,0,75,98,None,2,Follow-up call
DL-1043,Riverside Health Alliance,Hospital System,Tomas Rivera,Partner,Meridian Pro,Prospecting,108000,3/11/2025,4/20/2025,18,1,16,Epic,6,Check in
DL-1044,Ridgeline Clinic,Health Network,Fatima Hassan,Partner,Meridian Enterprise,Closed Lost,433000,12/28/2024,2/22/2025,0,88,3,Epic,6,Executive meeting
DL-1045,Westmark Surgical Center,Specialty Practice,Connor Walsh,Inbound,Meridian Core,Proposal Sent,41000,3/1/2025,4/11/2025,12,1,57,None,2,Legal review
DL-1046,Lakeshore Care Partners,Urgent Care,Nina Patel,Partner,Meridian Enterprise,Closed Won,241000,6/23/2024,8/27/2024,0,90,98,None,4,Demo scheduled
DL-1047,Ridgeline Medical Group,Hospital System,Chris Park,Conference,Meridian Core,Closed Won,30000,11/26/2024,1/6/2025,0,45,99,In-House Solution,8,Contract sent
DL-1048,Granite Medical Group,Ambulatory Surgery Center,Julia Novak,Conference,Meridian Enterprise,Demo Scheduled,269000,6/25/2024,9/3/2024,11,5,38,None,1,Check in
DL-1049,Ironwood Health Network,Ambulatory Surgery Center,Derek Stone,Outbound,Meridian Pro,Negotiation,75000,1/25/2025,4/2/2025,21,5,66,None,3,Send proposal
DL-1050,Ironwood Surgical Center,Hospital System,Tomas Rivera,Outbound,Meridian Core,Proposal Sent,30000,1/8/2024,3/14/2024,5,14,50,Cerner,8,Demo scheduled
DL-1051,Pinecrest Hospital,Specialty Practice,Rachel Kim,Referral,Meridian Core,Closed Won,16000,4/4/2024,5/6/2024,0,66,100,In-House Solution,2,Executive meeting
DL-1052,Ridgeline Health Alliance,Specialty Practice,Tomas Rivera,Outbound,Meridian Enterprise,Negotiation,405000,2/13/2024,5/23/2024,30,8,72,None,3,Contract sent
DL-1053,Highland Surgical Center,Health Network,Marcus Webb,Inbound,Meridian Enterprise,Closed Won,438000,11/8/2024,12/21/2024,0,41,100,In-House Solution,8,Legal review
DL-1054,Pacific Health System,Outpatient Clinic,Marcus Webb,Outbound,Meridian Enterprise,Demo Scheduled,332000,4/28/2024,7/14/2024,22,10,45,None,2,Check in
DL-1055,Harbor Surgical Center,Hospital System,Lauren Tate,Inbound,Meridian Core,Closed Lost,31000,5/16/2024,6/27/2024,0,66,0,Epic,5,Check in
DL-1056,Cardinal Medical Center,Specialty Practice,Megan Torres,Referral,Meridian Pro,Closed Won,50000,5/19/2024,6/27/2024,0,57,100,Cerner,1,Send proposal
DL-1057,Ridgeline Health Alliance,Hospital System,Sarah Chen,Inbound,Meridian Core,Closed Won,42000,1/26/2025,3/6/2025,0,88,99,None,8,Follow-up call
DL-1058,Lakeside Health Services,Outpatient Clinic,Chris Park,Inbound,Meridian Enterprise,Closed Won,153000,6/27/2024,8/12/2024,0,74,100,None,1,Demo scheduled
DL-1059,Highland Medical Center,Hospital System,Priya Nair,Referral,Meridian Pro,Closed Lost,105000,6/10/2024,7/26/2024,0,72,3,Epic,4,Contract sent
DL-1060,Redwood Health System,Hospital System,Andre Bishop,Conference,Meridian Core,Closed Won,29000,11/14/2024,1/4/2025,0,48,100,In-House Solution,1,Check in
DL-1061,Harbor Regional Health,Urgent Care,Connor Walsh,Inbound,Meridian Core,Closed Won,38000,12/29/2024,1/23/2025,0,83,96,Epic,2,Demo scheduled
DL-1062,Willow Care Partners,Specialty Practice,Tomas Rivera,Conference,Meridian Pro,Closed Lost,71000,9/17/2024,11/4/2024,0,54,0,Cerner,2,Executive meeting
DL-1063,Ridgeline Regional Health,Outpatient Clinic,Priya Nair,Conference,Meridian Enterprise,Closed Won,236000,5/21/2024,8/14/2024,0,76,99,Cerner,4,Executive meeting
DL-1064,Lakeshore Cardiac Institute,Outpatient Clinic,Lauren Tate,Conference,Meridian Pro,Closed Lost,110000,8/16/2024,10/13/2024,0,59,0,None,4,Send proposal
DL-1065,Ridgeline Medical Group,Specialty Practice,Chris Park,Conference,Meridian Enterprise,Closed Lost,433000,12/27/2024,2/28/2025,0,32,0,Cerner,1,Executive meeting
DL-1066,Lakeside Regional Health,Ambulatory Surgery Center,Fatima Hassan,Partner,Meridian Core,Prospecting,38000,2/21/2024,4/8/2024,17,5,15,Cerner,1,Executive meeting
DL-1067,Ironwood Health Network,Outpatient Clinic,Rachel Kim,Inbound,Meridian Enterprise,Negotiation,467000,3/12/2025,5/16/2025,19,10,66,None,1,Demo scheduled
DL-1068,Sequoia Health Network,Health Network,James Okafor,Conference,Meridian Enterprise,Closed Won,114000,1/24/2025,3/25/2025,0,33,99,None,7,Contract sent
DL-1069,Mercy Healthcare System,Urgent Care,Megan Torres,Conference,Meridian Core,Closed Lost,26000,11/13/2024,12/31/2024,0,59,0,In-House Solution,4,Legal review
DL-1070,Osprey Medical Group,Specialty Practice,Andre Bishop,Conference,Meridian Enterprise,Qualified,228000,10/27/2024,1/8/2025,14,2,28,Epic,3,Check in
DL-1071,Redwood Health Services,Hospital System,Tomas Rivera,Referral,Meridian Enterprise,Closed Won,451000,1/12/2024,3/12/2024,0,33,100,In-House Solution,5,Executive meeting
DL-1072,Crystal Healthcare System,Ambulatory Surgery Center,Connor Walsh,Outbound,Meridian Core,Qualified,28000,11/6/2024,1/10/2025,22,35,35,None,4,Follow-up call
DL-1073,Evergreen Healthcare System,Health Network,Tomas Rivera,Outbound,Meridian Core,Closed Lost,35000,6/16/2024,8/15/2024,0,47,0,None,5,Check in
DL-1074,Northbay Healthcare System,Ambulatory Surgery Center,Priya Nair,Referral,Meridian Enterprise,Closed Lost,445000,3/13/2024,4/30/2024,0,81,3,None,4,Follow-up call
DL-1075,Riverside Regional Health,Outpatient Clinic,Nina Patel,Partner,Meridian Enterprise,Closed Won,444000,10/1/2024,11/26/2024,0,82,100,None,2,Demo scheduled
DL-1076,Crystal Regional Health,Outpatient Clinic,Sarah Chen,Partner,Meridian Enterprise,Closed Won,213000,11/13/2024,1/20/2025,0,82,100,In-House Solution,4,Follow-up call
DL-1077,Ridgeline Care Partners,Specialty Practice,Lauren Tate,Conference,Meridian Core,Qualified,18000,1/24/2024,3/5/2024,14,11,33,Epic,2,Demo scheduled
DL-1078,Riverside Regional Health,Outpatient Clinic,James Okafor,Inbound,Meridian Core,Closed Won,35000,3/2/2025,3/31/2025,0,90,98,None,3,Contract sent
DL-1079,Pinecrest Healthcare System,Hospital System,Andre Bishop,Conference,Meridian Pro,Closed Won,51000,2/1/2024,3/27/2024,0,70,100,None,6,Send proposal
DL-1080,Vista Health Services,Urgent Care,Lauren Tate,Conference,Meridian Core,Demo Scheduled,25000,2/6/2025,4/7/2025,6,13,44,None,2,Send proposal
DL-1081,Forge Medical Center,Ambulatory Surgery Center,Derek Stone,Inbound,Meridian Core,Closed Lost,20000,5/8/2024,5/31/2024,0,80,0,Cerner,2,Legal review
DL-1082,Heritage Cardiac Institute,Ambulatory Surgery Center,Marcus Webb,Outbound,Meridian Core,Negotiation,42000,3/5/2024,5/2/2024,20,2,72,Cerner,1,Check in
DL-1083,Sunset Health System,Hospital System,Julia Novak,Conference,Meridian Core,Closed Lost,42000,6/3/2024,7/19/2024,0,36,2,In-House Solution,2,Legal review
DL-1084,Briar Care Partners,Urgent Care,Derek Stone,Outbound,Meridian Enterprise,Proposal Sent,250000,12/30/2024,3/29/2025,5,13,51,In-House Solution,2,Demo scheduled
DL-1085,Evergreen Health System,Hospital System,Rachel Kim,Inbound,Meridian Pro,Closed Won,94000,2/27/2025,4/1/2025,0,53,97,In-House Solution,2,Executive meeting
DL-1086,Pacific Health Services,Health Network,Priya Nair,Referral,Meridian Enterprise,Closed Won,387000,2/17/2024,4/10/2024,0,37,100,None,1,Legal review
DL-1087,Briar Medical Group,Urgent Care,Tomas Rivera,Outbound,Meridian Core,Closed Lost,21000,6/29/2024,9/2/2024,0,84,0,None,1,Executive meeting
DL-1088,Vista Medical Center,Specialty Practice,Nina Patel,Partner,Meridian Enterprise,Closed Lost,418000,10/20/2024,12/26/2024,0,65,0,Cerner,2,Legal review
DL-1089,Coastal Health Alliance,Health Network,Tomas Rivera,Outbound,Meridian Core,Closed Won,37000,6/22/2024,8/7/2024,0,70,95,None,7,Demo scheduled
DL-1090,Northbay Clinic,Urgent Care,Rachel Kim,Partner,Meridian Core,Closed Won,15000,3/21/2024,4/21/2024,0,69,95,In-House Solution,4,Check in
DL-1091,Ridgeline Surgical Center,Outpatient Clinic,Sam Elliot,Conference,Meridian Core,Closed Lost,44000,9/5/2024,10/12/2024,0,37,0,In-House Solution,3,Follow-up call
DL-1092,Forge Health System,Hospital System,Connor Walsh,Inbound,Meridian Core,Closed Won,31000,7/21/2024,8/19/2024,0,78,99,None,1,Demo scheduled
DL-1093,Summit Surgical Center,Urgent Care,Derek Stone,Outbound,Meridian Enterprise,Closed Lost,281000,12/26/2024,3/13/2025,0,77,0,Epic,1,Executive meeting
DL-1094,Beacon Healthcare System,Specialty Practice,Rachel Kim,Inbound,Meridian Enterprise,Closed Won,427000,10/21/2024,12/14/2024,0,55,95,None,4,Executive meeting
DL-1095,Pinnacle Health Network,Specialty Practice,Andre Bishop,Conference,Meridian Enterprise,Closed Won,305000,2/15/2024,4/30/2024,0,85,99,In-House Solution,3,Executive meeting
DL-1096,Shoreline Hospital,Urgent Care,Devon Mills,Outbound,Meridian Core,Qualified,34000,2/9/2024,4/4/2024,9,23,28,None,1,Send proposal
DL-1097,Forge Hospital,Specialty Practice,Chris Park,Partner,Meridian Enterprise,Closed Lost,389000,8/25/2024,11/1/2024,0,69,0,In-House Solution,4,Follow-up call
DL-1098,Pinecrest Medical Group,Urgent Care,Chris Park,Referral,Meridian Core,Closed Won,34000,8/14/2024,9/19/2024,0,59,100,None,3,Follow-up call
DL-1099,Granite Medical Group,Specialty Practice,Priya Nair,Conference,Meridian Enterprise,Closed Lost,383000,11/10/2024,2/2/2025,0,32,2,Cerner,4,Contract sent
DL-1100,Cypress Oncology Partners,Ambulatory Surgery Center,Lauren Tate,Referral,Meridian Core,Closed Won,44000,2/1/2024,3/12/2024,0,45,100,Epic,2,Legal review
DL-1101,Valley Clinic,Outpatient Clinic,Andre Bishop,Conference,Meridian Enterprise,Demo Scheduled,406000,5/24/2024,7/23/2024,4,6,36,Cerner,3,Check in
DL-1102,Briar Health Alliance,Ambulatory Surgery Center,Lauren Tate,Conference,Meridian Core,Proposal Sent,34000,6/19/2024,8/1/2024,6,10,51,None,3,Executive meeting
DL-1103,Westmark Health Network,Hospital System,Lauren Tate,Partner,Meridian Enterprise,Closed Won,443000,12/9/2024,2/8/2025,0,31,100,None,6,Executive meeting
DL-1104,Tidewater Hospital,Health Network,Chris Park,Inbound,Meridian Enterprise,Closed Won,151000,4/8/2024,6/4/2024,0,83,100,None,7,Send proposal
DL-1105,Sunset Health Network,Health Network,Devon Mills,Partner,Meridian Enterprise,Closed Lost,310000,4/2/2024,5/31/2024,0,45,2,In-House Solution,4,Legal review
DL-1106,Evergreen Health Services,Urgent Care,Fatima Hassan,Conference,Meridian Enterprise,Negotiation,314000,8/24/2024,10/27/2024,22,14,69,None,3,Contract sent
DL-1107,Northbay Health Network,Outpatient Clinic,James Okafor,Inbound,Meridian Core,Closed Won,22000,12/30/2024,1/30/2025,0,62,97,Epic,4,Legal review
DL-1108,Forge Health System,Urgent Care,Sarah Chen,Inbound,Meridian Pro,Closed Lost,70000,7/31/2024,9/4/2024,0,53,0,None,3,Executive meeting
DL-1109,Shoreline Oncology Partners,Specialty Practice,Chris Park,Conference,Meridian Enterprise,Closed Won,102000,12/22/2024,2/21/2025,0,43,97,Cerner,4,Follow-up call
DL-1110,Cedar Medical Center,Hospital System,Tomas Rivera,Outbound,Meridian Core,Proposal Sent,38000,5/1/2024,7/4/2024,4,2,57,Cerner,4,Check in
