deal_id,company_name,industry,rep_name,lead_source,product_line,deal_stage,deal_value,created_date,close_date,days_in_stage,last_activity_days_ago,probability_pct,competitor_mentioned,num_stakeholders,next_action
DL-1111,Cypress Medical Group,Urgent Care,Lauren Tate,Conference,Meridian Pro,Closed Won,70000,5/29/2024,7/20/2024,0,72,100,None,1,Contract sent
DL-1112,Summit Medical Group,Urgent Care,Derek Stone,Partner,Meridian Core,Closed Won,36000,9/16/2024,10/28/2024,0,54,100,None,1,Legal review
DL-1113,Westmark Health Services,Urgent Care,Connor Walsh,Inbound,Meridian Enterprise,Closed Won,270000,1/10/2025,2/24/2025,0,64,100,In-House Solution,4,Check in
DL-1114,Crystal Oncology Partners,Health Network,Chris Park,Inbound,Meridian Core,Closed Won,41000,11/19/2024,12/13/2024,0,32,98,In-House Solution,7,Executive meeting
DL-1115,Lakeside Care Partners,Ambulatory Surgery Center,Derek Stone,Outbound,Meridian Core,Prospecting,30000,8/30/2024,10/24/2024,22,2,15,Epic,4,Demo scheduled
DL-1116,Pacific Cardiac Institute,Specialty Practice,Rachel Kim,Inbound,Meridian Pro,Closed Lost,106000,4/5/2024,5/6/2024,0,76,1,None,2,Contract sent
DL-1117,Sunset Medical Group,Outpatient Clinic,Tomas Rivera,Outbound,Meridian Enterprise,Closed Lost,251000,6/13/2024,9/5/2024,0,75,1,None,4,Follow-up call
DL-1118,Beacon Medical Center,Ambulatory Surgery Center,Andre Bishop,Referral,Meridian Core,Closed Won,16000,11/10/2024,12/21/2024,0,53,100,In-House Solution,2,Executive meeting
DL-1119,Atlas Cardiac Institute,Urgent Care,Connor Walsh,Inbound,Meridian Core,Closed Won,21000,2/2/2025,3/18/2025,0,53,100,Epic,2,Contract sent
DL-1120,Cardinal Healthcare System,Outpatient Clinic,Andre Bishop,Conference,Meridian Core,Proposal Sent,19000,7/22/2024,8/25/2024,18,7,58,None,3,Check in
DL-1121,Sunset Health System,Ambulatory Surgery Center,Fatima Hassan,Referral,Meridian Pro,Closed Won,65000,4/19/2024,5/12/2024,0,34,100,None,3,Check in
DL-1122,Lakeshore Healthcare System,Urgent Care,Andre Bishop,Conference,Meridian Pro,Qualified,78000,12/29/2024,2/6/2025,13,2,28,None,4,Follow-up call
DL-1123,Highland Healthcare System,Urgent Care,Andre Bishop,Conference,Meridian Core,Closed Won,17000,10/10/2024,11/15/2024,0,75,100,Cerner,4,Executive meeting
DL-1124,Ridgeline Hospital,Specialty Practice,Priya Nair,Conference,Meridian Enterprise,Closed Won,364000,3/5/2024,5/14/2024,0,83,100,In-House Solution,2,Demo scheduled
DL-1125,Cardinal Health Network,Health Network,James Okafor,Inbound,Meridian Enterprise,Closed Won,463000,9/22/2024,11/9/2024,0,90,100,None,5,Send proposal
DL-1126,Osprey Medical Center,Urgent Care,Tomas Rivera,Outbound,Meridian Enterprise,Qualified,186000,11/10/2024,2/11/2025,7,12,34,None,1,Follow-up call
DL-1127,Ironwood Regional Health,Ambulatory Surgery Center,Marcus Webb,Referral,Meridian Core,Closed Won,38000,11/24/2024,1/2/2025,0,61,100,Cerner,3,Demo scheduled
DL-1128,Pinnacle Cardiac Institute,Specialty Practice,Connor Walsh,Inbound,Meridian Core,Closed Won,15000,2/16/2025,3/16/2025,0,60,100,None,2,Legal review
DL-1129,Harbor Clinic,Specialty Practice,Rachel Kim,Inbound,Meridian Core,Closed Won,35000,1/10/2025,2/18/2025,0,50,98,Epic,4,Send proposal
DL-1130,Northbay Health Alliance,Health Network,Megan Torres,Referral,Meridian Pro,Proposal Sent,80000,3/18/2025,4/13/2025,18,8,57,None,8,Send proposal
DL-1131,Ironwood Oncology Partners,Hospital System,Aisha Brooks,Referral,Meridian Pro,Closed Lost,103000,10/25/2024,12/3/2024,0,71,5,Epic,1,Executive meeting
DL-1132,Osprey Oncology Partners,Outpatient Clinic,James Okafor,Inbound,Meridian Enterprise,Closed Won,287000,8/8/2024,10/12/2024,0,32,100,None,2,Legal review
DL-1133,Lakeside Medical Group,Urgent Care,Derek Stone,Outbound,Meridian Pro,Negotiation,110000,5/27/2024,7/18/2024,21,2,67,None,3,Contract sent
DL-1134,Sequoia Cardiac Institute,Hospital System,Julia Novak,Conference,Meridian Core,Closed Won,20000,7/24/2024,9/18/2024,0,60,100,Epic,3,Legal review
DL-1135,Evergreen Health Services,Urgent Care,Rachel Kim,Referral,Meridian Pro,Closed Won,104000,3/24/2024,5/9/2024,0,61,100,None,1,Legal review
DL-1136,Shoreline Surgical Center,Specialty Practice,Rachel Kim,Inbound,Meridian Enterprise,Closed Lost,257000,12/10/2024,2/14/2025,0,85,5,None,3,Check in
DL-1137,Highland Care Partners,Health Network,Chris Park,Conference,Meridian Enterprise,Closed Won,393000,3/28/2024,6/17/2024,0,31,100,None,4,Demo scheduled
DL-1138,Valley Medical Group,Ambulatory Surgery Center,Julia Novak,Conference,Meridian Enterprise,Qualified,131000,1/31/2025,4/22/2025,19,11,32,Cerner,2,Demo scheduled
DL-1139,Vista Oncology Partners,Ambulatory Surgery Center,Derek Stone,Outbound,Meridian Enterprise,Demo Scheduled,448000,6/24/2024,9/27/2024,21,8,38,None,3,Send proposal
DL-1140,Cedar Health Alliance,Specialty Practice,Aisha Brooks,Referral,Meridian Pro,Closed Won,111000,12/19/2024,2/2/2025,0,48,96,Cerner,4,Executive meeting
DL-1141,Vista Oncology Partners,Outpatient Clinic,Andre Bishop,Conference,Meridian Enterprise,Demo Scheduled,140000,1/30/2025,4/10/2025,17,4,38,Cerner,3,Send proposal
DL-1142,Evergreen Health System,Health Network,James Okafor,Outbound,Meridian Core,Closed Lost,45000,11/11/2024,1/1/2025,0,33,0,In-House Solution,3,Follow-up call
DL-1143,Osprey Health Network,Specialty Practice,Derek Stone,Conference,Meridian Enterprise,Demo Scheduled,202000,3/21/2024,6/12/2024,11,11,35,None,1,Send proposal
DL-1144,Shoreline Health System,Specialty Practice,Sam Elliot,Inbound,Meridian Pro,Demo Scheduled,63000,3/27/2025,5/12/2025,3,1,39,Cerner,3,Legal review
DL-1145,Beacon Care Partners,Specialty Practice,Fatima Hassan,Partner,Meridian Core,Closed Won,44000,11/24/2024,1/4/2025,0,81,96,None,4,Check in
DL-1146,Evergreen Medical Group,Specialty Practice,Aisha Brooks,Conference,Meridian Enterprise,Closed Won,267000,3/30/2024,5/30/2024,0,36,97,None,2,Follow-up call
DL-1147,Trailhead Care Partners,Outpatient Clinic,Nina Patel,Partner,Meridian Pro,Closed Lost,78000,7/15/2024,8/29/2024,0,30,0,In-House Solution,2,Follow-up call
DL-1148,Ironwood Medical Group,Specialty Practice,James Okafor,Inbound,Meridian Enterprise,Closed Lost,357000,8/26/2024,10/28/2024,0,74,0,In-House Solution,2,Send proposal
DL-1149,Lakeshore Regional Health,Ambulatory Surgery Center,Lauren Tate,Conference,Meridian Enterprise,Proposal Sent,291000,9/1/2024,11/12/2024,19,13,60,None,1,Contract sent
DL-1150,Cedar Hospital,Urgent Care,Fatima Hassan,Inbound,Meridian Core,Closed Won,15000,9/27/2024,11/15/2024,0,62,98,Cerner,2,Legal review
DL-1151,Clearwater Cardiac Institute,Health Network,Julia Novak,Conference,Meridian Enterprise,Closed Lost,146000,8/14/2024,10/28/2024,0,33,2,None,1,Contract sent
DL-1152,Maple Care Partners,Specialty Practice,Fatima Hassan,Inbound,Meridian Pro,Closed Won,40000,12/10/2024,1/25/2025,0,34,95,Epic,1,Contract sent
DL-1153,Trailhead Health Alliance,Outpatient Clinic,Marcus Webb,Outbound,Meridian Pro,Closed Won,63000,2/5/2024,4/13/2024,0,71,100,Epic,4,Executive meeting
DL-1154,Lakeside Oncology Partners,Ambulatory Surgery Center,Megan Torres,Referral,Meridian Enterprise,Closed Lost,168000,7/11/2024,9/5/2024,0,37,0,Cerner,2,Check in
DL-1155,Maple Hospital,Ambulatory Surgery Center,Sarah Chen,Inbound,Meridian Enterprise,Closed Won,317000,6/1/2024,7/29/2024,0,44,98,Epic,3,Send proposal
DL-1156,Pinecrest Health Network,Hospital System,James Okafor,Inbound,Meridian Core,Closed Won,25000,1/17/2024,2/11/2024,0,32,100,Cerner,1,Demo scheduled
DL-1157,Osprey Cardiac Institute,Hospital System,Fatima Hassan,Partner,Meridian Core,Closed Won,44000,4/29/2024,6/4/2024,0,88,100,None,6,Send proposal
DL-1158,Valley Healthcare System,Outpatient Clinic,Julia Novak,Conference,Meridian Core,Negotiation,23000,4/23/2024,6/16/2024,17,1,70,In-House Solution,3,Check in
DL-1159,Briar Health Alliance,Specialty Practice,Sam Elliot,Outbound,Meridian Core,Demo Scheduled,42000,7/28/2024,9/17/2024,6,13,42,None,4,Contract sent
DL-1160,Valley Regional Health,Outpatient Clinic,Julia Novak,Conference,Meridian Enterprise,Prospecting,140000,3/9/2024,5/21/2024,19,4,10,None,1,Executive meeting
DL-1161,Mercy Health Network,Ambulatory Surgery Center,Priya Nair,Partner,Meridian Enterprise,Closed Won,386000,4/6/2024,5/30/2024,0,85,100,None,2,Check in
DL-1162,Cedar Regional Health,Health Network,James Okafor,Inbound,Meridian Enterprise,Closed Lost,204000,1/17/2025,3/11/2025,0,65,0,None,6,Legal review
DL-1163,Highland Medical Center,Specialty Practice,Nina Patel,Partner,Meridian Pro,Proposal Sent,52000,7/3/2024,8/24/2024,12,4,55,None,2,Check in
DL-1164,Cardinal Healthcare System,Outpatient Clinic,Sam Elliot,Outbound,Meridian Core,Proposal Sent,36000,5/31/2024,8/1/2024,19,11,60,None,4,Check in
DL-1165,Pinecrest Oncology Partners,Outpatient Clinic,Chris Park,Inbound,Meridian Core,Closed Won,20000,8/23/2024,10/8/2024,0,41,100,In-House Solution,1,Executive meeting
DL-1166,Tidewater Surgical Center,Health Network,Priya Nair,Conference,Meridian Enterprise,Negotiation,462000,2/22/2025,4/26/2025,32,6,65,Cerner,8,Follow-up call
DL-1167,Pacific Healthcare System,Hospital System,Sarah Chen,Inbound,Meridian Enterprise,Closed Won,469000,9/29/2024,11/17/2024,0,48,95,Cerner,3,Follow-up call
DL-1168,Lakeshore Care Partners,Health Network,James Okafor,Inbound,Meridian Enterprise,Closed Lost,281000,9/25/2024,11/13/2024,0,35,0,Epic,4,Legal review
DL-1169,Beacon Health System,Hospital System,Priya Nair,Inbound,Meridian Pro,Closed Won,88000,11/30/2024,1/4/2025,0,33,100,None,8,Executive meeting
DL-1170,Vista Medical Center,Hospital System,Sam Elliot,Partner,Meridian Enterprise,Closed Won,121000,11/26/2024,1/20/2025,0,85,100,Epic,2,Check in
DL-1171,Osprey Health Network,Health Network,Nina Patel,Inbound,Meridian Enterprise,Closed Won,206000,10/5/2024,12/3/2024,0,82,100,In-House Solution,7,Check in
DL-1172,Atlas Medical Group,Ambulatory Surgery Center,Derek Stone,Outbound,Meridian Core,Demo Scheduled,17000,6/18/2024,8/17/2024,3,2,41,None,4,Executive meeting
DL-1173,Valley Health System,Specialty Practice,Rachel Kim,Conference,Meridian Core,Proposal Sent,34000,1/16/2024,3/7/2024,7,11,59,In-House Solution,3,Executive meeting
DL-1174,Trailhead Health System,Outpatient Clinic,Connor Walsh,Inbound,Meridian Core,Closed Lost,36000,12/31/2024,2/14/2025,0,39,1,None,1,Follow-up call
DL-1175,Willow Health Alliance,Outpatient Clinic,Tomas Rivera,Outbound,Meridian Core,Closed Won,20000,8/15/2024,9/30/2024,0,58,100,Cerner,1,Follow-up call
DL-1176,Briar Health Network,Urgent Care,Priya Nair,Partner,Meridian Pro,Closed Won,89000,6/30/2024,7/27/2024,0,54,96,In-House Solution,2,Check in
DL-1177,Cardinal Health Network,Hospital System,Tomas Rivera,Outbound,Meridian Core,Closed Lost,39000,5/17/2024,7/8/2024,0,60,0,None,8,Contract sent
DL-1178,Pinnacle Health Alliance,Outpatient Clinic,Aisha Brooks,Referral,Meridian Core,Closed Lost,37000,8/22/2024,9/21/2024,0,54,0,Epic,2,Legal review
DL-1179,Forge Health Alliance,Specialty Practice,Rachel Kim,Outbound,Meridian Pro,Demo Scheduled,62000,11/4/2024,12/30/2024,22,8,44,None,3,Executive meeting
DL-1180,Coastal Surgical Center,Urgent Care,Megan Torres,Referral,Meridian Core,Closed Won,23000,7/5/2024,8/15/2024,0,31,100,In-House Solution,3,Executive meeting
DL-1181,Lakeside Oncology Partners,Health Network,Priya Nair,Conference,Meridian Enterprise,Proposal Sent,229000,2/23/2025,5/14/2025,14,2,57,Cerner,7,Contract sent
DL-1182,Osprey Regional Health,Urgent Care,Marcus Webb,Partner,Meridian Enterprise,Demo Scheduled,143000,2/8/2025,3/31/2025,7,11,44,None,4,Executive meeting
DL-1183,Sunset Medical Group,Outpatient Clinic,Rachel Kim,Inbound,Meridian Core,Closed Won,44000,2/11/2025,3/29/2025,0,67,100,None,4,Demo scheduled
DL-1184,Pinnacle Surgical Center,Specialty Practice,Sarah Chen,Inbound,Meridian Core,Closed Lost,19000,9/4/2024,10/23/2024,0,39,0,None,2,Contract sent
DL-1185,Harbor Medical Center,Specialty Practice,Chris Park,Inbound,Meridian Enterprise,Closed Won,456000,6/27/2024,8/21/2024,0,49,95,In-House Solution,3,Check in
DL-1186,Westmark Hospital,Urgent Care,James Okafor,Outbound,Meridian Core,Closed Lost,22000,12/12/2024,2/4/2025,0,59,0,Epic,4,Demo scheduled
DL-1187,Atlas Cardiac Institute,Urgent Care,Sarah Chen,Inbound,Meridian Pro,Closed Won,89000,1/12/2025,2/4/2025,0,43,99,In-House Solution,1,Executive meeting
DL-1188,Maple Medical Group,Health Network,Derek Stone,Outbound,Meridian Enterprise,Demo Scheduled,443000,4/5/2024,7/4/2024,21,7,44,Epic,8,Contract sent
DL-1189,Trailhead Care Partners,Urgent Care,Devon Mills,Partner,Meridian Core,Closed Won,20000,2/20/2025,3/29/2025,0,49,96,None,2,Contract sent
DL-1190,Briar Hospital,Specialty Practice,Megan Torres,Partner,Meridian Pro,Closed Won,63000,8/2/2024,9/13/2024,0,74,100,None,4,Legal review
DL-1191,Willow Regional Health,Specialty Practice,Lauren Tate,Conference,Meridian Enterprise,Proposal Sent,127000,4/5/2024,6/14/2024,6,4,56,Cerner,4,Demo scheduled
DL-1192,Cascade Clinic,Specialty Practice,Chris Park,Conference,Meridian Core,Closed Won,17000,7/31/2024,9/21/2024,0,78,98,None,2,Contract sent
DL-1193,Cedar Health Services,Urgent Care,Tomas Rivera,Conference,Meridian Enterprise,Closed Won,157000,3/27/2024,6/12/2024,0,79,100,None,1,Executive meeting
DL-1194,Harbor Healthcare System,Specialty Practice,Fatima Hassan,Partner,Meridian Core,Prospecting,27000,10/6/2024,11/11/2024,16,14,11,Epic,2,Send proposal
DL-1195,Beacon Medical Group,Urgent Care,Andre Bishop,Outbound,Meridian Core,Prospecting,25000,3/16/2025,5/25/2025,20,5,19,Cerner,3,Legal review
DL-1196,Sequoia Cardiac Institute,Health Network,Nina Patel,Inbound,Meridian Pro,Qualified,75000,3/15/2025,4/27/2025,9,25,28,In-House Solution,5,Check in
DL-1197,Mercy Health Services,Ambulatory Surgery Center,Sam Elliot,Outbound,Meridian Core,Demo Scheduled,37000,7/11/2024,9/9/2024,16,8,40,Cerner,1,Check in
DL-1198,Vista Medical Group,Hospital System,Fatima Hassan,Referral,Meridian Enterprise,Closed Lost,303000,11/21/2024,1/2/2025,0,82,0,Epic,5,Legal review
DL-1199,Harbor Health Services,Specialty Practice,Derek Stone,Outbound,Meridian Pro,Closed Won,46000,10/22/2024,12/6/2024,0,80,100,None,2,Demo scheduled
DL-1200,Northbay Medical Group,Ambulatory Surgery Center,Fatima Hassan,Partner,Meridian Core,Demo Scheduled,31000,1/1/2024,2/2/2024,4,11,40,None,2,Follow-up call
DL-1201,Evergreen Health System,Ambulatory Surgery Center,Megan Torres,Referral,Meridian Core,Closed Won,39000,11/16/2024,12/26/2024,0,36,95,None,2,Contract sent
DL-1202,Foothill Surgical Center,Hospital System,Connor Walsh,Inbound,Meridian Enterprise,Closed Won,275000,9/22/2024,11/28/2024,0,85,100,In-House Solution,2,Send proposal
DL-1203,Sequoia Health System,Outpatient Clinic,Megan Torres,Referral,Meridian Pro,Closed Won,78000,2/15/2024,3/10/2024,0,82,97,In-House Solution,1,Contract sent
DL-1204,Maple Health Alliance,Health Network,Devon Mills,Outbound,Meridian Enterprise,Qualified,310000,8/13/2024,11/15/2024,4,3,26,Cerner,6,Executive meeting
DL-1205,Lakeside Clinic,Hospital System,Lauren Tate,Conference,Meridian Core,Prospecting,30000,5/6/2024,7/3/2024,11,34,18,None,1,Executive meeting
DL-1206,Osprey Health Alliance,Health Network,Connor Walsh,Inbound,Meridian Pro,Closed Lost,49000,9/10/2024,10/19/2024,0,30,0,In-House Solution,6,Contract sent
DL-1207,Willow Clinic,Hospital System,Devon Mills,Inbound,Meridian Enterprise,Closed Won,134000,1/25/2025,3/7/2025,0,32,95,Epic,7,Demo scheduled
DL-1208,Ridgeline Regional Health,Health Network,Megan Torres,Referral,Meridian Enterprise,Closed Lost,140000,2/12/2024,4/4/2024,0,81,0,In-House Solution,2,Legal review
DL-1209,Foothill Care Partners,Health Network,Sam Elliot,Outbound,Meridian Core,Prospecting,19000,1/8/2025,3/7/2025,11,11,12,In-House Solution,1,Send proposal
DL-1210,Harbor Healthcare System,Ambulatory Surgery Center,Chris Park,Inbound,Meridian Pro,Closed Won,61000,6/26/2024,7/30/2024,0,79,99,In-House Solution,1,Legal review
DL-1211,Pinecrest Surgical Center,Outpatient Clinic,Sam Elliot,Outbound,Meridian Enterprise,Closed Won,395000,5/19/2024,8/22/2024,0,59,100,None,2,Legal review
DL-1212,Evergreen Medical Group,Ambulatory Surgery Center,Devon Mills,Partner,Meridian Enterprise,Prospecting,159000,5/10/2024,7/4/2024,3,1,13,None,4,Send proposal
DL-1213,Pinecrest Hospital,Specialty Practice,Sam Elliot,Outbound,Meridian Enterprise,Negotiation,263000,4/24/2024,7/16/2024,29,2,73,In-House Solution,2,Executive meeting
DL-1214,Granite Clinic,Specialty Practice,Julia Novak,Conference,Meridian Pro,Closed Won,79000,1/24/2024,3/8/2024,0,59,95,None,3,Check in
DL-1215,Cedar Medical Group,Specialty Practice,Connor Walsh,Inbound,Meridian Core,Closed Won,27000,8/25/2024,9/21/2024,0,56,95,None,1,Legal review
DL-1216,Vista Health System,Hospital System,Sarah Chen,Referral,Meridian Core,Closed Won,45000,1/23/2025,2/19/2025,0,33,97,In-House Solution,1,Send proposal
DL-1217,Atlas Cardiac Institute,Specialty Practice,Julia Novak,Referral,Meridian Enterprise,Closed Won,143000,7/30/2024,9/22/2024,0,38,100,Epic,1,Demo scheduled
DL-1218,Foothill Healthcare System,Outpatient Clinic,Lauren Tate,Conference,Meridian Pro,Closed Lost,81000,5/1/2024,6/14/2024,0,44,0,None,1,Send proposal
DL-1219,Harbor Health System,Hospital System,James Okafor,Inbound,Meridian Enterprise,Closed Won,283000,3/25/2024,5/29/2024,0,49,100,None,3,Executive meeting
DL-1220,Crystal Clinic,Outpatient Clinic,Tomas Rivera,Outbound,Meridian Core,Demo Scheduled,17000,2/27/2025,5/4/2025,14,9,35,In-House Solution,2,Follow-up call
DL-1221,Granite Health Services,Hospital System,Megan Torres,Outbound,Meridian Pro,Prospecting,53000,3/13/2025,5/21/2025,2,39,13,None,7,Legal review
DL-1222,Harbor Medical Center,Hospital System,Priya Nair,Inbound,Meridian Core,Closed Won,24000,10/25/2024,12/7/2024,0,38,96,None,8,Follow-up call
DL-1223,Coastal Hospital,Ambulatory Surgery Center,Devon Mills,Outbound,Meridian Pro,Closed Lost,103000,10/20/2024,12/3/2024,0,57,0,None,3,Legal review
